# MALHEUR (0.4.6) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009 Konrad Rieck (rieck@cs.tu-berlin.de)
# Berlin Institute of Technology (TU Berlin).
# ---
# Incremental analysis for 20090802_mist.tar.gz
# ---
# <report> <cluster> <prototype> <distance>
20090801/00fa504f0bd45969fd29d4c740c801c027698415.NothingFound C001-0805 20090801/1b405399dd51b36bb86a7ee184d4e8c7fc0a018e.FlyStudio 0.648464
20090801/52791f08e93d493a6195c534dc836b7e327d322f.Crypt C001-0711 20090801/05221afdfac0ad41b8dee5c8f9476deb58e74315.NothingFound 0.632398
20090801/a965dd92839f5ad5f3e95c4c373b9702730eb3e6.TDSS C001-0740 20090801/23c499c1743e96a6559a130d7936b741132a46ad.Tdss 0.6742
20090801/c9c1dac83df7823913808414f6b574796aabfd73.TDSS C001-0740 20090801/b8c3a4aaa873a40d3157c5c218016c217efad25d.TDSS 0.61586
20090801/f3d49fea17e063082209f735ce22fec02cf389e2.NothingFound C001-0808 20090801/874f8b6c2fffa82c77f397f95c9321b8869c8925.NothingFound 0.677355
20090801/f42ad768afb5b5d14a233f0112cdde59bfdcbb0e.NothingFound C001-0552 20090801/9636bece026eb1e2a49d5afa17eb1668f04ec0a3.NothingFound 0.673013
20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.000190678
20090802/0015c8c9ff02fea9d045692b9eebfb4abff4e42f.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.518246
20090802/001f298a534ae4b0db7f2707169250aa25c3b5f2.Swizzor C002-0751 20090802/e0cb25a88a5e0c748dfccfc8621cde8189e85d94.Swizzor 0.39571
20090802/001f5fdaaa8bbe2303527198d09a30bb7ca3eb50.Poison rejected 20090802/bd65a6d79f58d44c7e11a5d7814ea1ce54983e1c.Poison 0.441726
20090802/002ca2c41b649f85c0ae30013436781a932fecc6.FraudLoad C002-1370 20090802/002ca2c41b649f85c0ae30013436781a932fecc6.FraudLoad 0
20090802/003e109543b4ea22d2bcc1ec309bf2fd3e9a1a1d.Agent C002-1134 20090802/03a2b9a9e7a91703da192801a301f6606af5b4ec.Agent 0.386551
20090802/004070b468d6bb29848c76cfd5887849c7bb648d.Swizzor C002-0751 20090802/e0cb25a88a5e0c748dfccfc8621cde8189e85d94.Swizzor 0.412591
20090802/00461dd05c981edde167a5947c36472141e04bb1.Krap C002-0809 20090802/00461dd05c981edde167a5947c36472141e04bb1.Krap 0
20090802/004bbce62dc8720bb7de72be78759eb794e6c24a.Cinmus rejected 20090802/004bbce62dc8720bb7de72be78759eb794e6c24a.Cinmus 0
20090802/006d2bad1bfeb60e1210e6543d3af45ef6380945.Udr C002-0337 20090802/0e3162c48a45b7bc2a89288e0d7d17e2417b48fb.Udr 0.179287
20090802/0072a8842861ec49286d6bbf70409dccd1840c31.Pakes rejected 20090802/0072a8842861ec49286d6bbf70409dccd1840c31.Pakes 0.00032561
20090802/00810ef9f86daee349107255601afc51e9a7eba2.NothingFound rejected 20090802/00810ef9f86daee349107255601afc51e9a7eba2.NothingFound 0
20090802/00985b97db19b882c31ff04ee4caeaf536e4b4bb.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.0870854
20090802/009c5afccb482a69d5a47f4f8a06f9c007181702.Buzus rejected 20090802/009c5afccb482a69d5a47f4f8a06f9c007181702.Buzus 0.000354736
20090802/00a2b881ddba2fbece1d2853bc848407c0ad795b.Swizzor C002-0081 20090802/37dd1b223d3751ac2de1df4e424535616501200b.Swizzor 0.357538
20090802/00ab5151cdf57cf9a53aa4e0caeada0753a36bd4.Swizzor C002-0803 20090802/4b3623532f0329ffad5207718fa2bc2891fc3b38.Swizzor 0.563076
20090802/00c0646c7dfd55f704f0f81dfa9f900e3357abf6.NothingFound C002-1008 20090802/00c0646c7dfd55f704f0f81dfa9f900e3357abf6.NothingFound 0
20090802/00c1a031c076503815da2b0972ea36aff10e86a3.Allaple C002-0050 20090802/9ea659466ca7b06cc2904ce1098aa8e1052e0c6a.Allaple 0.511624
20090802/00e329369415a5d17123a1df08ee91046c1704fe.Inject rejected 20090802/2a5a4a3b1c78bea1bfc4d14370645538cf7df84d.Magania 0.368452
