# MALHEUR (0.4.6) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009 Konrad Rieck (rieck@cs.tu-berlin.de)
# Berlin Institute of Technology (TU Berlin).
# ---
# Incremental analysis for 20090803_mist.tar.gz
# ---
# <report> <cluster> <prototype> <distance>
20090803/0001d8176bfda95f80e00b620830d1b53b390ee8.NothingFound C002-0233 20090802/d9322571b20b6bc74a050595d253eac3253a7302.MyTool 0.631537
20090803/0050d0343060ceecfd8176255e6e3359c89d6775.Udr C002-0337 20090802/0e3162c48a45b7bc2a89288e0d7d17e2417b48fb.Udr 0.179287
20090803/005345127fcb16c2a1a04dd40f49d422b1842657.Allaple C002-0050 20090802/9ea659466ca7b06cc2904ce1098aa8e1052e0c6a.Allaple 0.505699
20090803/0083866157b12fd6ab628d2b3b73e4effef01709.Allaple C002-0050 20090802/9ea659466ca7b06cc2904ce1098aa8e1052e0c6a.Allaple 0.500063
20090803/00a83a99d2cdc0e94afffedb0d917a92c12445a4.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.097884
20090803/00b65395577ba138a5b9014ee53dcf76763cbde0.Allaple C002-0050 20090802/9ea659466ca7b06cc2904ce1098aa8e1052e0c6a.Allaple 0.515293
20090803/00d8254037f38529df2f6b9f65c5675b1c21c9f9.VB C002-1148 20090802/a6507471ad26057194a8c0a7b584ea450f937538.VB 0.612084
20090803/012760501b47a17269023b38d9d7100574edb78d.Swizzor C002-0751 20090802/e0cb25a88a5e0c748dfccfc8621cde8189e85d94.Swizzor 0.508472
20090803/013b9507d16bb15a85082c8364805bf609fafacf.FraudLoad C002-1370 20090802/abde75d1ccc94f97201aa3e358287195dd77d05d.Krap 0.478778
20090803/01bc5eb53ddbb0a33ef8371b22f19b153703ac0d.Allaple C002-0050 20090802/9ea659466ca7b06cc2904ce1098aa8e1052e0c6a.Allaple 0.51915
20090803/01d9637caaea4ac39195403db639cd2d73ac2f82.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.0902187
20090803/01dc7dc08390bc8c61395518f9e2adca5ef196b3.Allaple C002-0050 20090802/9ea659466ca7b06cc2904ce1098aa8e1052e0c6a.Allaple 0.472343
20090803/01f89d75e6c7dbe7897b984cbde2fd52d50bce34.Texel C002-1134 20090802/ecb8386a6ea9448d17f2c968a26181077cbc2455.NothingFound 0.660703
20090803/0213f3b4b416f1a6a8288061af7298df7f230daa.Zbot C002-0104 20090802/999e07b32ccdf7375a3a7eb3de5af6f0c04f6d85.Zbot 0.567136
