# MALHEUR (0.4.6) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009 Konrad Rieck (rieck@cs.tu-berlin.de)
# Berlin Institute of Technology (TU Berlin).
# ---
# Clusters for reference_mist.tar.gz
# Number of cluster: 27
# Precision of clusters: 92.0%
# Recall of clusters: 93.7%
# F-measure of clusters: 92.9%
# ---
# <report> <cluster> <prototype> <distance>
refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO C000-0001 refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.00031908
refset/0074696fd18e67ae1392787048de130f2bac80ea.ALLAPLE C000-0002 refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.421455
refset/0096a423f639efdadb8ce0081b2dc3d1ba9682c1.RBOT C000-0023 refset/3463f7c7b3c05654fa2ebf25d8163d31b575f0ba.RBOT 0.541968
refset/00be5951c5175533f7ab4521e4ad7326ff80b983.ALLAPLE C000-0002 refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.371888
refset/00c4fa8e267207bf44f8918607a640c9478ecb8a.PODNUHA C000-0015 refset/d722b732ee0fff2fcb8771ce02f747ed337368b4.PODNUHA 0.357031
refset/00d4d72cbad273037aa6569605d4f9efd9be6199.PODNUHA C000-0015 refset/d722b732ee0fff2fcb8771ce02f747ed337368b4.PODNUHA 0.357031
refset/01100d08cb8dba2495e7b243279d5dd37c168aa1.LOOPER C000-0011 refset/820839c8dd7245a8b2fedd6d8a9de9f3473e1b4a.LOOPER 0.648617
refset/011728ab05423be2ee63c0dfd0224ee8dce811c5.ALLAPLE C000-0002 refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.391775
refset/011e71afb60483285ec3facc07582bf24fd61b91.ADULTBROWSER C000-0088 refset/41da4485b565741accc0166caabc409e022c659a.ADULTBROWSER 0.339894
refset/0154d2260503deeae0f092808e9ad98771323ed4.VAPSUP C000-0017 refset/2f52597f2b9325d5ca88edb22c36d2b610b086ba.VAPSUP 0.379337
refset/0155623d58adfe3b4f66d140cd568a1c3aa66745.ALLAPLE C000-0002 refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.372117
refset/015ff0593aa36b48ab2ba0210f0fbe9a91fa3dc0.ROTATOR C000-0018 refset/c8c199f3c066aa56524f446349605c1ec4350804.ROTATOR 0.511032
refset/0165df9c39296ca28c68594455e95f4ef8b5a93d.BANCOS C000-0003 refset/0e2ab5a0306a5d68a01ba5e693d6f16110f25497.BANCOS 0.298432
refset/01864fda52c1ffc47eb11aeda63e5792335a7cdd.LOOPER C000-0011 refset/07b46fbb490f77a302ba21bde104f6d7f5e3a35d.LOOPER 0.634866
refset/01cfbc10619d93120617d23996b7aa8672a89245.WOIKOINER C000-0007 refset/ce3578cf105178b4284b1ca91562160199d5715a.WOIKOINER 0.525805
refset/01d4bdc799a2fbcf4d9e8344c7cc04430836d4a1.ADULTBROWSER C000-0088 refset/41da4485b565741accc0166caabc409e022c659a.ADULTBROWSER 0.350023
refset/01daf13d0cd3080eeef4e35339b382565d73a811.VIKING_DLL C000-0010 refset/2e1465134075161228a764caf057a54657afa292.VIKING_DLL 0.173694
refset/01ff92165a17beab32384bc92275f3b32013c99a.LOOPER C000-0011 refset/ba73f1ef8f07710590e7f8decb385ea4289f999c.LOOPER 0.643092
refset/02145fb4686f7b7e5f674f602227ba2521c30af5.PODNUHA C000-0015 refset/d722b732ee0fff2fcb8771ce02f747ed337368b4.PODNUHA 0.357031
refset/0219f3c1193eb8dfd4d5f5498677b3e9af63f4e0.LOOPER C000-0011 refset/daaf003de7443c80fb0d1d290864434d931a5818.LOOPER 0.623808
refset/021a6572134f0a3ca91dc22d6f54f605fe2753ee.ALLAPLE C000-0002 refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.394887
refset/022f1e26af965141de3297be6efb8c015b61fb16.LOOPER C000-0011 refset/521ddc3f53af734d97f9ba4fcf7f96178b913c50.LOOPER 0.646245
refset/02327e2a1f09f5da235cb09257a0650c95226058.LDPINCH C000-0005 refset/02327e2a1f09f5da235cb09257a0650c95226058.LDPINCH 0
refset/0232d6357535e80295159e9b57bf1155c0d21fd9.LOOPER C000-0011 refset/ff536d4ad87838355637ae6446e2a637a7079977.LOOPER 0.63703
refset/0247cf4214dd68e60c1e6f26a98aa7e024529e3f.SPYGAMES C000-0050 refset/1de5579c37b97761a9280b40772444569fd9852f.SPYGAMES 0.470236
refset/025c677ad0598ba57bddea2f1c30d202c4ff7da0.CASINO C000-0001 refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.401449
refset/025d7eacbef57ae6c9514fb1204f260ecf366f47.ROTATOR C000-0018 refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.414745
refset/027c02f019c3e5052030ed01e568f97e519568a8.ADULTBROWSER C000-0088 refset/41da4485b565741accc0166caabc409e022c659a.ADULTBROWSER 0.34668
refset/027fb5b97ff4643adac09ac8a5c27951af93efb3.SALITY C000-0004 refset/4df447fdc28d29b431b83ccbdd57cb2aa8fd3c2d.SALITY 0.377482
refset/0300dc446901724ed384b0e9c4d4f639ab9575cd.PODNUHA C000-0015 refset/d722b732ee0fff2fcb8771ce02f747ed337368b4.PODNUHA 0.357031
refset/030642eb57b6a16d77bb6bc94cec64511285dbac.ADULTBROWSER C000-0088 refset/41da4485b565741accc0166caabc409e022c659a.ADULTBROWSER 0.353335
refset/03083f63d2913fa72edce652c387078361b5434a.FLYSTUDIO C000-0094 refset/03083f63d2913fa72edce652c387078361b5434a.FLYSTUDIO 0
refset/030b5bb63998f386b8a4dfc412c29e76fea2d74e.LDPINCH C000-0005 refset/02327e2a1f09f5da235cb09257a0650c95226058.LDPINCH 0
refset/030dfd810e75bd18fad1e18bdac53ac1af530f7b.PODNUHA C000-0015 refset/d722b732ee0fff2fcb8771ce02f747ed337368b4.PODNUHA 0.357031
refset/031a6047eca5db8a8b29b867f28e89322924672f.POISON C000-0022 refset/031a6047eca5db8a8b29b867f28e89322924672f.POISON 5.60648e-05
refset/0321f06adefa1bc94b6af853531c590147a73a26.VIKING_DLL C000-0090 refset/54ec9234bcad41af81aeef9e71197df3dfb5a668.VIKING_DLL 0.104972
refset/032abd84b2ddaa8877ed861a44ee2f2281cfd8a8.VIKING_DLL C000-0010 refset/2e1465134075161228a764caf057a54657afa292.VIKING_DLL 0.108813
refset/03304734c1b10f8a00a5ae8b1362e73561566582.RBOT C000-0050 refset/1de5579c37b97761a9280b40772444569fd9852f.SPYGAMES 0.562772
refset/034a448085e3261e2c3e463d347fc737ee4471d8.ROTATOR C000-0018 refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.430626
refset/035fcd5d9592e50862ca7f87fe12f11fe641f659.ALLAPLE C000-0002 refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.333923
refset/0397987e543e3c6bf026eae8bf90f988579b1b55.PODNUHA C000-0015 refset/d722b732ee0fff2fcb8771ce02f747ed337368b4.PODNUHA 0.357031
refset/03d279b0fc5d815e833cb528aff776ef206b3ffe.ZHELATIN rejected refset/03d279b0fc5d815e833cb528aff776ef206b3ffe.ZHELATIN 4.43989e-05
refset/0424e9bdad2f1179bd1c9fa34a0932e5c606b876.ROTATOR C000-0018 refset/c8c199f3c066aa56524f446349605c1ec4350804.ROTATOR 0.395071
refset/043569ff0fb7c1d3df70730c4e53503b00027540.CASINO C000-0001 refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.374819
refset/043fafcca31d76c0f7c0c618f2f439a42b9c1dc8.MAGICCASINO C000-0095 refset/1b12cab2ddb5c70f66833c71dadb23a69c70d510.MAGICCASINO 0.383418
refset/0440b9236d63261dede4ecfb4f315d40b8c14ce2.LOOPER C000-0011 refset/07b46fbb490f77a302ba21bde104f6d7f5e3a35d.LOOPER 0.625484
refset/0443b1ff0c05134de9d01f358e2958f248e3fa4a.LOOPER C000-0011 refset/516409696f0fcfc26bf64f01c6f49507ba606fac.LOOPER 0.616913
refset/045eef1278020e512d8a7902493e7efb450bd0fb.PODNUHA C000-0015 refset/d722b732ee0fff2fcb8771ce02f747ed337368b4.PODNUHA 0.357031
refset/04737690618301523bca0e4e1ac9af2351ce8865.RBOT C000-0023 refset/3463f7c7b3c05654fa2ebf25d8163d31b575f0ba.RBOT 0.513528
refset/04875c1c051c9d6beaaeef232f5f6d9f9dfd2b87.SALITY rejected refset/04875c1c051c9d6beaaeef232f5f6d9f9dfd2b87.SALITY 0
refset/04955c05cb09de711a62050d1de7a664c19ba985.SALITY C000-0034 refset/c4bd721e688ad33ec5899c0b446ce76cbe89505e.SALITY 0.560859
refset/04cbc5c31f3273841a4c104af8071fea7adbf32e.PODNUHA C000-0015 refset/d722b732ee0fff2fcb8771ce02f747ed337368b4.PODNUHA 0.357031
refset/04e2fe48099550b17ffbbb229f436cabfbf9a735.PODNUHA C000-0015 refset/d722b732ee0fff2fcb8771ce02f747ed337368b4.PODNUHA 0.357031
refset/04ec518445465dfcacd1ebda58eaca2fa76ddbe1.ZHELATIN rejected refset/04ec518445465dfcacd1ebda58eaca2fa76ddbe1.ZHELATIN 0
refset/04f70e32647e9157251e6b8c14d240a3c915a9e8.SWIZZOR C000-0019 refset/370c147a9add7c89ca03bbe67b49db47a62ae459.SWIZZOR 0.191499
refset/050581fe19cef699a51423d707c1bd642b102b48.ROTATOR C000-0018 refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.406946
refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER C000-0039 refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER 0.000292886
refset/0522ea5b7f15333fd34dad2bb048bee570c1e40b.VIRUT C000-0050 refset/2c8f232169df18aad7a4f890a469b598948e72aa.VIRUT 0.566283
refset/054d75715d4a6f2ba8c2ffa9812643a0c889354b.ZHELATIN rejected refset/054d75715d4a6f2ba8c2ffa9812643a0c889354b.ZHELATIN 0
refset/054e07d19d83d4050abd4b3bc530a9baec7617ae.MAGICCASINO C000-0095 refset/1b12cab2ddb5c70f66833c71dadb23a69c70d510.MAGICCASINO 0.353752
refset/055b15c839aab1c28e306a46c81277ae03c6eb5c.SALITY C000-0004 refset/4df447fdc28d29b431b83ccbdd57cb2aa8fd3c2d.SALITY 0.449807
refset/059fdb4d8b0b15f609d6efa5f3e30d314614791b.ROTATOR C000-0018 refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.408668
